r_def,cve_ent,con,upm,n_pro_viv,v_sel,n_hog,h_mud,n_ren,c_res,sex,eda,n_hij,e_con,ur,zona,pos_ocu,seg_soc,rama_est1,ambito2,tue1,pre_asa,niv_ins,anios_esc,hrsocup,ingocup,imssissste,emp_ppal,p6c,p6d
0,9,40006,906681,117,5,1,0,1,1,2,61,2,3,1,2,1,1,3,5,2,1,3,11,50,10000,1,2, ,1
0,9,40018,912598,63,3,1,0,5,1,1,23, ,1,1,2,1,2,3,8,3,2,4,12,30,12900,4,1, ,6
0,9,40018,912598,81,4,1,0,3,1,2,55,0,6,1,2,1,1,3,4,2,1,4,15,40,10000,2,2, ,3
0,9,40039,922769,109,5,1,0,2,1,2,37,0,6,1,2,3,2,3,2,3,0,4,12,40,12900,4,1, ,6
0,9,40040,911404,7,2,1,0,1,1,1,62, ,1,1,2,1,2,3,4,1,2,2,9,15,9000,4,1, ,6
0,9,40046,901679,89,4,1,0,1,1,2,41,0,6,1,2,3,2,3,4,1,0,4,18,33,103200,4,2, ,6
0,9,40051,905367,90,3,1,0,1,1,1,46, ,1,1,2,3,2,3,2,1,0,4,16,15,40000,4,2, ,6
0,9,40051,905367,136,5,1,0,1,1,2,64,1,5,1,2,1,2,3,3,1,2,4,12,12,4300,4,1, ,6
0,9,40062,916613,4,1,1,0,2,1,1,57, ,6,1,2,1,1,2,3,1,1,4,12,56,15050,1,2, ,1
0,9,40064,916869,76,1,1,0,1,1,1,58, ,5,1,2,1,1,3,4,1,1,4,16,40,50000,1,2, ,1
0,9,40082,909128,53,1,1,0,4,1,1,13, ,6,1,2,1,2,3,2,3,2,2,6,20,1720,4,1, ,6
0,9,40097,908709,98,1,1,0,3,1,1,24, ,6,1,2,1,2,3,3,1,2,4,15,14,8000,4,1, ,6
0,9,40098,908906,19,1,1,0,1,1,2,60,3,3,1,2,1,2,3,2,3,2,3,10,9,1290,4,1, ,6
0,9,40111,921271,53,3,1,0,2,1,2,35,1,5,1,2,3,2,3,2,3,0,4,14,3,800,4,1, ,6
0,9,40112,922198,37,2,1,0,2,1,2,44,2,5,1,2,1,1,3,4,1,1,3,11,40,9450,1,2, ,1
0,9,40118,900618,113,2,1,0,1,1,2,25,0,6,1,2,1,1,3,4,1,1,4,12,54,19350,1,2, ,1
0,9,40125,904200,50,2,1,0,1,1,1,54, ,1,1,2,3,2,3,2,3,0,4,12,60,17200,4,1, ,6
0,9,40130,915059,52,3,1,0,1,1,1,49, ,1,1,2,1,2,3,4,3,1,1,0,70,8600,4,1, ,6
0,9,40131,903101,45,1,1,0,1,1,1,32, ,6,1,2,1,2,3,5,1,1,4,16,45,20000,4,1, ,6
0,9,40144,908756,53,2,1,0,2,1,1,33, ,1,1,2,3,2,3,2,1,0,4,12,60,19350,4,2, ,6
0,9,40146,909441,22,4,1,0,1,1,2,29,1,6,1,2,1,1,2,5,1,1,4,12,36,8892,1,2, ,1
0,9,40149,910768,2,1,1,0,1,1,1,40, ,1,1,2,1,2,3,5,1,2,4,12,44,12000,4,1, ,6
0,9,40149,910768,108,5,1,0,1,1,1,45, ,5,1,2,1,2,2,2,3,1,3,9,60,6450,4,1, ,6
0,9,40149,910768,108,5,1,0,2,1,2,47,4,5,1,2,1,2,3,8,3,1,3,9,12,3870,4,1, ,6
0,9,40150,911039,43,2,1,0,2,1,2,65,2,5,1,2,3,2,3,3,3,0,3,9,21,18060,4,1, ,6
0,9,40155,916082,15,1,1,0,3,1,2,27,1,2,1,2,1,1,3,5,1,1,4,12,46,12000,1,2, ,1
0,9,40157,918903,96,5,1,0,2,1,2,38,3,1,1,2,3,2,3,2,3,0,3,9,42,2150,4,1, ,6
0,9,40161,911272,174,3,1,0,1,1,1,57, ,5,1,2,1,2,1,0,1,2,3,9,40,5375,4,1, ,6
0,9,40166,902243,29,2,1,0,2,1,2,22,0,6,1,2,1,2,2,2,1,1,4,16,18,15000,4,1, ,6
0,9,40169,903061,95,2,1,0,2,1,2,55,4,2,1,2,1,1,3,4,2,1,4,12,40,18000,2,2, ,3
0,9,40172,903174,7,1,1,0,1,1,2,63,2,3,1,2,3,2,3,3,1,0,3,12,66,64500,4,2, ,6
0,9,40181,908083,27,1,1,0,3,1,2,27,0,6,1,2,1,1,3,5,1,1,4,12,48,18000,1,2, ,1
0,9,40184,909384,37,4,1,0,1,1,1,49, ,3,1,2,1,1,3,4,2,1,3,11,40,12000,2,2, ,3
0,9,40223,903116,21,1,1,0,2,1,2,26,0,1,1,2,1,1,3,4,2,1,4,16,40,16000,1,2, ,1
0,9,40234,914926,17,1,1,0,1,1,2,52,2,3,1,2,3,2,3,2,3,0,4,16,6,10000,4,1, ,6
0,9,40237,916837,21,1,1,0,1,1,2,44,1,5,1,2,1,1,3,6,1,1,4,18,24,40000,1,2, ,1
0,9,40244,919218,7,1,1,0,1,1,1,37, ,6,1,2,1,1,2,3,1,1,4,12,45,16000,1,2, ,1
0,9,40247,923140,70,3,1,0,3,1,1,24, ,6,1,2,3,2,3,2,1,0,4,12,42,8600,4,2, ,6
0,9,40272,909371,29,55,1,0,1,1,2,58,0,6,1,2,3,2,2,2,3,0,4,16,30,6450,4,1, ,6
0,9,40273,909724,89,54,1,0,1,1,2,51,5,4,1,2,1,2,3,8,3,2,3,9,0,1290,4,1, ,6
0,9,40281,916003,93,55,1,0,1,1,2,31,1,4,1,2,1,1,3,6,2,1,4,17,30,24000,1,2, ,1
0,9,40284,920765,45,51,1,0,1,1,2,57,3,6,1,2,1,1,2,0,1,1,3,9,40,8170,1,2, ,1
0,9,40292,900803,77,53,1,0,1,1,2,50,2,6,1,2,1,1,3,4,1,1,2,6,60,9000,1,2, ,1
0,9,40296,902862,32,52,1,0,1,1,1,36, ,5,1,2,3,2,2,2,3,0,4,13,34,12000,4,1, ,6
0,9,40297,903446,2,54,1,0,1,1,1,55, ,5,1,2,3,2,3,3,3,0,2,8,59,5160,4,1, ,6
0,9,40297,903446,2,54,1,0,2,1,2,55,2,5,1,2,3,2,3,3,3,0,3,12,59,5160,4,1, ,6
0,9,40306,906412,41,53,1,0,4,1,2,27,0,6,1,2,1,1,3,0,1,1,4,16,40,16000,1,2, ,1
0,9,40306,906412,55,54,1,0,1,1,2,51,1,6,1,2,1,1,3,5,2,1,3,12,0,14000,1,2, ,1
